,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,date,time
1,Why am I not seeing any megabus option for that route? :'(,FALSE,0,NA,4/27/16 14:39,FALSE,NA,725333679229292000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheBrodZiplomat,0,FALSE,FALSE,NA,NA,4/27/16,14:39:59
2,Megabus always stopping when I donâ€™t want them to í _í_„,FALSE,0,NA,4/27/16 14:28,FALSE,NA,725330802603597000,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎŸS</a>",_KayyDubb,0,FALSE,FALSE,NA,NA,4/27/16,14:28:33
3,@CleoCensored taking Ryanair and Megabusí _í¸Åí _í¸‚ #cheapbitch,FALSE,0,CleoCensored,4/27/16 14:27,FALSE,7.25321E+17,725330574659981000,1327636674,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",coraline_ka,0,FALSE,FALSE,NA,NA,4/27/16,14:27:39
4,The fucking megabus is smoking,FALSE,0,NA,4/27/16 14:19,FALSE,NA,725328608345133000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alicesmith13,0,FALSE,FALSE,NA,NA,4/27/16,14:19:50
5,@megabus absolute incompetence!,FALSE,0,megabus,4/27/16 14:13,FALSE,NA,725327130528112000,30965315,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Astro_JohnWayne,0,FALSE,FALSE,NA,NA,4/27/16,14:13:58
6,@MeganGabriellle í _í¸©í _í¸© es ok. Maybe i'll be up in the next two weeks! Megabus er su'innnn,FALSE,1,MeganGabriellle,4/27/16 14:11,FALSE,7.25326E+17,725326497024610000,21418700,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Erin_Darcel,0,FALSE,FALSE,NA,NA,4/27/16,14:11:27
7,@petal_pants get us a couple of megabus  tickets Iâ€™ll meet you asap,FALSE,0,petal_pants,4/27/16 14:11,FALSE,7.25325E+17,725326455211745000,213448386,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎŸS</a>",Arunedh,0,FALSE,FALSE,NA,NA,4/27/16,14:11:17
8,That moment you realise you have half a sandwich left over from lunch in your bag and are taking a megabus. Welcome to #unemployment,FALSE,0,NA,4/27/16 13:50,FALSE,NA,725321171676332000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CarolineCopsey,0,FALSE,FALSE,NA,NA,4/27/16,13:50:17
9,"@megabus I was right outside behind a light when I missed the bus, you should account for Houston flooding next time",FALSE,0,megabus,4/27/16 13:45,FALSE,NA,725319879457271000,30965315,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Astro_JohnWayne,0,FALSE,FALSE,NA,NA,4/27/16,13:45:09
10,"If you spot Bladon Rogers, 14 or Christopher Kemp, call 911 or @CrimelineFL Last seen getting on MegaBus in Orl 4/19 https://t.co/NysuIYByzh",FALSE,0,NA,4/27/16 13:39,FALSE,NA,725318523338285000,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",OrlandoPolice,12,FALSE,FALSE,NA,NA,4/27/16,13:39:46
11,On route to Inverness on the mighty Megabus #OiOi,FALSE,0,NA,4/27/16 13:32,FALSE,NA,725316756236042000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",richymuirhead,0,FALSE,FALSE,NA,NA,4/27/16,13:32:45
12,@kordeibaybay @MUSlCALKORDEI what happened to u taking the megabus dionne!!!! https://t.co/FEzDo7ShWw,FALSE,4,kordeibaybay,4/27/16 13:27,FALSE,7.25315E+17,725315353002156000,2300378299,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tooturntharmo,1,FALSE,FALSE,NA,NA,4/27/16,13:27:10
